Package Name,Versions,Total Services,License,Description,Homepage,Repository,Dev Dependency,Services Using
@0no-co,1.2.0,1,Unknown,"",,,No,""cloned-repos/airtimemedia/the-force""
@aashutoshrathi,1.2.6,5,Unknown,"",,,Yes,""cloned-repos/airtimemedia/mos-eisley, cloned-repos/airtimemedia/pubsub-service, cloned-repos/airtimemedia/rey, cloned-repos/airtimemedia/sdk-admin, cloned-repos/airtimemedia/yoda""
@aashutoshrathi/word-wrap,1.2.6,2,MIT,"Wrap words to a specified length.",https://github.com/aashutoshrathi/word-wrap,git+https://github.com/aashutoshrathi/word-wrap.git,Yes,""cloned-repos/airtimemedia/sdk-admin, cloned-repos/airtimemedia/yoda""
@ableco/eslint-config,0.4.1,1,MIT,"ESLint configuration from https://github.com/ableco/coding-standards",https://github.com/ableco/eslint-config#readme,git+https://github.com/ableco/eslint-config.git,Yes,""cloned-repos/airtimemedia/grogu-external""
@ableco/stylelint-config,0.1.1,1,MIT,"Stylelint configuration from https://github.com/ableco/coding-standards",https://github.com/ableco/stylelint-config#readme,git+https://github.com/ableco/stylelint-config.git,Yes,""cloned-repos/airtimemedia/grogu-external""
@actions,6.0.1; 5.29.0; 2.2.3; 1.11.1; 1.1.3; 1.1.1,1,Unknown,"",,,No,""cloned-repos/airtimemedia/the-force""
@adobe,4.4.3; 4.2.0,5,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/airtimemedia/bigsur/test/kef_automation, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/transcription-demo""
@adobe/css-tools,4.4.3; 4.2.0,4,MIT,"CSS parser / stringifier",https://github.com/adobe/css-tools#readme,git+https://github.com/adobe/css-tools.git,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/airtimemedia/bigsur/test/kef_automation, cloned-repos/airtimemedia/transcription-demo""
@aircore,latest; 3.2.2; 3.2.1; 3.1.1; 3.0.0; 1.7.1; 0.0.1-beta.1,8,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/nextjs, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/vue, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/transcription-demo, cloned-repos/airtimemedia/yoda""
@aircore/aircore-chat-panel,latest; 3.2.2; 3.2.1; 3.0.0,6,See LICENSE,"Chat Panel SDK",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/nextjs, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/vue, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/platform-docs/website""
@aircore/aircore-media,1.7.1,1,See LICENSE,"Aircore Media SDK",,,No,""cloned-repos/airtimemedia/yoda""
@aircore/aircore-media-panel,latest; 3.2.2; 3.2.1; 3.1.1; 3.0.0,7,See LICENSE,"Aircore Sync Audio SDK",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/nextjs, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/vue, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/transcription-demo""
@aircore/aircore-panel-core,latest; 3.2.2; 3.2.1; 3.1.1; 3.0.0,7,See LICENSE,"The core package is a dependency that is used by all our panel sdks and must be imported to use any of the panels. It provides the Client which is the primary controller which powers the [MediaPanel](https://docs.aircore.io/getting-started/sync-web-quicks",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/nextjs, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/vue, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/transcription-demo""
@aircore/nextjs-sync-audio-sample,file:sync-audio/nextjs,1,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples""
@aircore/nextjs-sync-chat-sample,file:sync-chat/nextjs,1,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples""
@aircore/react-sync-audio-sample,file:sync-audio/react,1,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples""
@aircore/react-sync-chat-sample,file:sync-chat/react,1,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples""
@aircore/ui,0.0.1-beta.1,1,See LICENSE,"The ui package is an internal dependency that is used by all our panel sdks.",,,Yes,""cloned-repos/airtimemedia/media-panel-chrome-extension""
@aircore/vue-sync-audio-sample,file:sync-audio/vue,1,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples""
@aircore/vue-sync-chat-sample,file:sync-chat/vue,1,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples""
@alloc,5.2.0,3,Unknown,"",,,Yes,""cloned-repos/airtimemedia/airtime-meet, cloned-repos/airtimemedia/fett, cloned-repos/airtimemedia/the-force""
@alloc/quick-lru,5.2.0,1,MIT,"Simple “Least Recently Used” (LRU) cache",https://github.com/sindresorhus/quick-lru#readme,git+https://github.com/sindresorhus/quick-lru.git,No,""cloned-repos/airtimemedia/fett""
@ampproject,2.3.0; 2.2.1; 2.2.0,26,Unknown,"",,,No,""cloned-repos/aircoreio/aircore-sync-web-samples, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/react, cloned-repos/aircoreio/aircore-sync-web-samples/sync-combined-audio-chat/vue, cloned-repos/airtimemedia/airtime-meet, cloned-repos/airtimemedia/bigsur/test/kef_automation, cloned-repos/airtimemedia/boca/automation-test, cloned-repos/airtimemedia/bor-gullet, cloned-repos/airtimemedia/botbuilder, cloned-repos/airtimemedia/dev-console-backend, cloned-repos/airtimemedia/fett, cloned-repos/airtimemedia/gaming-shared-cdk, cloned-repos/airtimemedia/jocasta-nu, cloned-repos/airtimemedia/media-panel-chrome-extension, cloned-repos/airtimemedia/mendocino/mendocino, cloned-repos/airtimemedia/merced/automation-test, cloned-repos/airtimemedia/merced/merced, cloned-repos/airtimemedia/node-zk-utils, cloned-repos/airtimemedia/platform-docs/website, cloned-repos/airtimemedia/shasta/shasta, cloned-repos/airtimemedia/tahoe/automation-test, cloned-repos/airtimemedia/tahoe/tahoe, cloned-repos/airtimemedia/the-force, cloned-repos/airtimemedia/transcription-demo, cloned-repos/airtimemedia/vandenberg, cloned-repos/airtimemedia/yoda, cloned-repos/airtimemedia/yosemite/yosemite""
