"endpoint","_timeslice","avg_msec","count"
"sessions","09/04/2024 14:28:00.000 -0700","250.1492537313433","268"
"allocate_subscribe","08/23/2024 18:48:00.000 -0700","250.95652173913044","23"
"subscribe","09/05/2024 12:00:00.000 -0700","251.0","1"
"session_access","09/16/2024 06:36:00.000 -0700","251.66666666666666","6"
"subscribe","09/07/2024 07:44:00.000 -0700","252.0","1"
"session_access","09/05/2024 05:52:00.000 -0700","252.2","5"
"sessions","09/15/2024 02:56:00.000 -0700","253.06626506024097","332"
"sessions","09/07/2024 04:44:00.000 -0700","253.2095238095238","105"
"session_access","08/18/2024 15:28:00.000 -0700","254.0","2"
"subscribe","08/30/2024 13:08:00.000 -0700","255.0","2"
"sessions","09/15/2024 16:00:00.000 -0700","255.23134328358208","134"
"session_access","08/31/2024 13:12:00.000 -0700","256.5","2"
"sessions","09/15/2024 16:28:00.000 -0700","256.5652173913044","299"
"subscribe","09/05/2024 13:24:00.000 -0700","257.0","3"
"allocate_subscribe","09/05/2024 13:00:00.000 -0700","257.0","1"
"allocate_subscribe","09/04/2024 13:44:00.000 -0700","260.0","5"
"subscribe","08/28/2024 08:12:00.000 -0700","260.6666666666667","3"
"allocate_publish","08/15/2024 17:36:00.000 -0700","260.6666666666667","3"
"sessions","08/27/2024 20:56:00.000 -0700","262.86238532110093","327"
"sessions","08/24/2024 12:28:00.000 -0700","268.3672922252011","373"
"session_access","09/16/2024 08:24:00.000 -0700","270.05263157894734","19"
"subscribe","09/05/2024 14:32:00.000 -0700","271.0","1"
"allocate_subscribe","09/06/2024 04:04:00.000 -0700","271.0","1"
"subscribe","08/30/2024 11:40:00.000 -0700","274.0","1"
"subscribe","09/20/2024 11:44:00.000 -0700","275.0","4"
"allocate_subscribe","08/06/2024 14:52:00.000 -0700","276.0","1"
"subscribe","08/30/2024 12:56:00.000 -0700","280.0","1"
"session_access","08/27/2024 06:44:00.000 -0700","281.0","2"
"sessions","08/22/2024 23:28:00.000 -0700","281.6578947368421","38"
"subscribe","09/03/2024 11:56:00.000 -0700","282.0","2"
"subscribe","09/05/2024 16:04:00.000 -0700","282.0","1"
"session_access","09/15/2024 16:24:00.000 -0700","282.6666666666667","6"
"session_access","08/26/2024 12:48:00.000 -0700","285.632183908046","87"
"session_access","08/24/2024 18:00:00.000 -0700","286.0","1"
"allocate_subscribe","09/05/2024 12:52:00.000 -0700","288.0","1"
"session_access","08/31/2024 17:32:00.000 -0700","288.0","2"
"session_access","08/28/2024 01:08:00.000 -0700","291.57142857142856","7"
"session_access","09/15/2024 18:40:00.000 -0700","295.5","4"
"allocate_publish","09/12/2024 08:52:00.000 -0700","303.0","1"
"session_access","09/16/2024 07:24:00.000 -0700","304.0","4"
"subscribe","09/05/2024 11:28:00.000 -0700","305.0","1"
"subscribe","09/03/2024 13:32:00.000 -0700","305.0","1"
"session_access","08/19/2024 20:04:00.000 -0700","308.3333333333333","3"
"session_access","09/15/2024 19:28:00.000 -0700","313.5","4"
"session_access","08/31/2024 09:08:00.000 -0700","318.6666666666667","3"
"session_access","09/16/2024 07:28:00.000 -0700","319.6","5"
"session_access","08/26/2024 03:52:00.000 -0700","324.6","5"
"allocate_publish","08/24/2024 11:48:00.000 -0700","325.0","1"
"subscribe","08/01/2024 07:08:00.000 -0700","335.0","1"
"","09/17/2024 10:16:00.000 -0700","337.0","1"
"session_access","09/16/2024 05:56:00.000 -0700","348.0","3"
"session_access","09/01/2024 06:24:00.000 -0700","361.0","1"
"allocate_publish","08/14/2024 04:36:00.000 -0700","367.0","1"
"publish","09/12/2024 08:52:00.000 -0700","367.0","1"
"sdk/","09/07/2024 20:12:00.000 -0700","373.0","1"
"session_access","09/15/2024 15:44:00.000 -0700","375.0","2"
"session_access","09/15/2024 15:28:00.000 -0700","378.0","2"
