"_messagetimems","_messagetime","maxLatency","_raw"
"1727213651000","09/24/2024 14:34:11.000 -0700","28","Sep 24 21:34:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 21:34:11.650[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29765,""lateCallbacks"":33,""latePercentage"":0.11086846967915337,""latencyPercentiles"":{""p50"":22,""p90"":27,""p99"":28},""avgLatency"":22.727272727272727,""maxLatency"":28,""timestamp"":""2024-09-24T21:34:11.650Z""}"
"1727213584000","09/24/2024 14:33:04.000 -0700","29","Sep 24 21:33:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 21:33:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29773,""lateCallbacks"":28,""latePercentage"":0.09404494004635072,""latencyPercentiles"":{""p50"":22,""p90"":26,""p99"":29},""avgLatency"":22.178571428571427,""maxLatency"":29,""timestamp"":""2024-09-24T21:33:04.737Z""}"
"1727213351000","09/24/2024 14:29:11.000 -0700","29","Sep 24 21:29:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 21:29:11.650[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29768,""lateCallbacks"":29,""latePercentage"":0.09742004837409299,""latencyPercentiles"":{""p50"":24,""p90"":27,""p99"":29},""avgLatency"":23.137931034482758,""maxLatency"":29,""timestamp"":""2024-09-24T21:29:11.650Z""}"
"1727213284000","09/24/2024 14:28:04.000 -0700","28","Sep 24 21:28:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 21:28:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29770,""lateCallbacks"":25,""latePercentage"":0.08397715821296607,""latencyPercentiles"":{""p50"":23,""p90"":27,""p99"":28},""avgLatency"":23.12,""maxLatency"":28,""timestamp"":""2024-09-24T21:28:04.737Z""}"
"1727213051000","09/24/2024 14:24:11.000 -0700","30","Sep 24 21:24:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 21:24:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29768,""lateCallbacks"":28,""latePercentage"":0.09406073636119323,""latencyPercentiles"":{""p50"":23,""p90"":27,""p99"":30},""avgLatency"":23.214285714285715,""maxLatency"":30,""timestamp"":""2024-09-24T21:24:11.649Z""}"
"1727212984000","09/24/2024 14:23:04.000 -0700","28","Sep 24 21:23:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 21:23:04.738[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29768,""lateCallbacks"":29,""latePercentage"":0.09742004837409299,""latencyPercentiles"":{""p50"":23,""p90"":28,""p99"":28},""avgLatency"":23.06896551724138,""maxLatency"":28,""timestamp"":""2024-09-24T21:23:04.737Z""}"
"1727212751000","09/24/2024 14:19:11.000 -0700","29","Sep 24 21:19:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 21:19:11.650[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29766,""lateCallbacks"":32,""latePercentage"":0.10750520728347779,""latencyPercentiles"":{""p50"":25,""p90"":27,""p99"":29},""avgLatency"":22.90625,""maxLatency"":29,""timestamp"":""2024-09-24T21:19:11.650Z""}"
"1727212684000","09/24/2024 14:18:04.000 -0700","30","Sep 24 21:18:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 21:18:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29758,""lateCallbacks"":35,""latePercentage"":0.11761543114456616,""latencyPercentiles"":{""p50"":23,""p90"":28,""p99"":30},""avgLatency"":22.62857142857143,""maxLatency"":30,""timestamp"":""2024-09-24T21:18:04.737Z""}"
"1727212451000","09/24/2024 14:14:11.000 -0700","30","Sep 24 21:14:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 21:14:11.650[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29754,""lateCallbacks"":30,""latePercentage"":0.1008267795926598,""latencyPercentiles"":{""p50"":25,""p90"":28,""p99"":30},""avgLatency"":24.6,""maxLatency"":30,""timestamp"":""2024-09-24T21:14:11.650Z""}"
"1727212384000","09/24/2024 14:13:04.000 -0700","29","Sep 24 21:13:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 21:13:04.738[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29751,""lateCallbacks"":42,""latePercentage"":0.14117172532015732,""latencyPercentiles"":{""p50"":20,""p90"":27,""p99"":29},""avgLatency"":20.952380952380953,""maxLatency"":29,""timestamp"":""2024-09-24T21:13:04.738Z""}"
"1727212151000","09/24/2024 14:09:11.000 -0700","29","Sep 24 21:09:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 21:09:11.650[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29751,""lateCallbacks"":36,""latePercentage"":0.12100433598870627,""latencyPercentiles"":{""p50"":22,""p90"":28,""p99"":29},""avgLatency"":22.194444444444443,""maxLatency"":29,""timestamp"":""2024-09-24T21:09:11.650Z""}"
"1727212084000","09/24/2024 14:08:04.000 -0700","30","Sep 24 21:08:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 21:08:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29750,""lateCallbacks"":39,""latePercentage"":0.13109243697478992,""latencyPercentiles"":{""p50"":23,""p90"":27,""p99"":30},""avgLatency"":22.153846153846153,""maxLatency"":30,""timestamp"":""2024-09-24T21:08:04.737Z""}"
"1727211851000","09/24/2024 14:04:11.000 -0700","30","Sep 24 21:04:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 21:04:11.650[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29752,""lateCallbacks"":32,""latePercentage"":0.10755579456843238,""latencyPercentiles"":{""p50"":24,""p90"":29,""p99"":30},""avgLatency"":23.84375,""maxLatency"":30,""timestamp"":""2024-09-24T21:04:11.650Z""}"
"1727211784000","09/24/2024 14:03:04.000 -0700","27","Sep 24 21:03:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 21:03:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29760,""lateCallbacks"":34,""latePercentage"":0.114247311827957,""latencyPercentiles"":{""p50"":22,""p90"":26,""p99"":27},""avgLatency"":21.676470588235293,""maxLatency"":27,""timestamp"":""2024-09-24T21:03:04.736Z""}"
"1727211551000","09/24/2024 13:59:11.000 -0700","30","Sep 24 20:59:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:59:11.650[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29748,""lateCallbacks"":43,""latePercentage"":0.1445475326072341,""latencyPercentiles"":{""p50"":21,""p90"":28,""p99"":30},""avgLatency"":21.209302325581394,""maxLatency"":30,""timestamp"":""2024-09-24T20:59:11.650Z""}"
"1727211484000","09/24/2024 13:58:04.000 -0700","32","Sep 24 20:58:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 20:58:04.736[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29743,""lateCallbacks"":45,""latePercentage"":0.15129610328480653,""latencyPercentiles"":{""p50"":20,""p90"":28,""p99"":32},""avgLatency"":21.666666666666668,""maxLatency"":32,""timestamp"":""2024-09-24T20:58:04.736Z""}"
"1727211251000","09/24/2024 13:54:11.000 -0700","30","Sep 24 20:54:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:54:11.650[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29740,""lateCallbacks"":43,""latePercentage"":0.14458641560188298,""latencyPercentiles"":{""p50"":22,""p90"":29,""p99"":30},""avgLatency"":22,""maxLatency"":30,""timestamp"":""2024-09-24T20:54:11.650Z""}"
"1727211184000","09/24/2024 13:53:04.000 -0700","29","Sep 24 20:53:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 20:53:04.736[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29748,""lateCallbacks"":36,""latePercentage"":0.12101653892698667,""latencyPercentiles"":{""p50"":23,""p90"":29,""p99"":29},""avgLatency"":22.72222222222222,""maxLatency"":29,""timestamp"":""2024-09-24T20:53:04.736Z""}"
"1727210951000","09/24/2024 13:49:11.000 -0700","30","Sep 24 20:49:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 20:49:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29762,""lateCallbacks"":30,""latePercentage"":0.10079967744103219,""latencyPercentiles"":{""p50"":24,""p90"":29,""p99"":30},""avgLatency"":23.833333333333332,""maxLatency"":30,""timestamp"":""2024-09-24T20:49:11.649Z""}"
