Timestamp                	Total CBs      	Late CBs       	Late %         	Max Latency    
2024-09-24T21:34:11.000Z 	29765          	33             	0.11           	28             
2024-09-24T21:33:04.000Z 	29773          	28             	0.09           	29             
2024-09-24T21:29:11.000Z 	29768          	29             	0.10           	29             
2024-09-24T21:28:04.000Z 	29770          	25             	0.08           	28             
2024-09-24T21:24:11.000Z 	29768          	28             	0.09           	30             
2024-09-24T21:23:04.000Z 	29768          	29             	0.10           	28             
2024-09-24T21:19:11.000Z 	29766          	32             	0.11           	29             
2024-09-24T21:18:04.000Z 	29758          	35             	0.12           	30             
2024-09-24T21:14:11.000Z 	29754          	30             	0.10           	30             
2024-09-24T21:13:04.000Z 	29751          	42             	0.14           	29             
2024-09-24T21:09:11.000Z 	29751          	36             	0.12           	29             
2024-09-24T21:08:04.000Z 	29750          	39             	0.13           	30             
2024-09-24T21:04:11.000Z 	29752          	32             	0.11           	30             
2024-09-24T21:03:04.000Z 	29760          	34             	0.11           	27             
2024-09-24T20:59:11.000Z 	29748          	43             	0.14           	30             
2024-09-24T20:58:04.000Z 	29743          	45             	0.15           	32             
2024-09-24T20:54:11.000Z 	29740          	43             	0.14           	30             
2024-09-24T20:53:04.000Z 	29748          	36             	0.12           	29             
2024-09-24T20:49:11.000Z 	29762          	30             	0.10           	30             
2024-09-24T20:48:04.000Z 	29771          	26             	0.09           	29             
2024-09-24T20:44:11.000Z 	29760          	30             	0.10           	30             
2024-09-24T20:43:04.000Z 	29763          	31             	0.10           	29             
2024-09-24T20:39:11.000Z 	29762          	33             	0.11           	29             
2024-09-24T20:38:04.000Z 	29766          	27             	0.09           	29             
2024-09-24T20:34:11.000Z 	29766          	28             	0.09           	30             
2024-09-24T20:33:04.000Z 	29761          	30             	0.10           	29             
2024-09-24T20:29:11.000Z 	29762          	30             	0.10           	29             
2024-09-24T20:28:04.000Z 	29758          	31             	0.10           	29             
2024-09-24T20:24:11.000Z 	29760          	36             	0.12           	30             
2024-09-24T20:23:04.000Z 	29757          	36             	0.12           	27             
2024-09-24T20:19:11.000Z 	29761          	38             	0.13           	29             
2024-09-24T20:18:04.000Z 	29761          	28             	0.09           	30             
2024-09-24T20:14:11.000Z 	29755          	32             	0.11           	30             
2024-09-24T20:13:04.000Z 	29761          	37             	0.12           	29             
2024-09-24T20:09:11.000Z 	29763          	29             	0.10           	29             
2024-09-24T20:08:04.000Z 	29763          	30             	0.10           	28             
2024-09-24T20:04:11.000Z 	29764          	29             	0.10           	33             
2024-09-24T20:03:04.000Z 	29760          	34             	0.11           	29             
2024-09-24T19:59:11.000Z 	29767          	28             	0.09           	30             
2024-09-24T19:58:04.000Z 	29758          	34             	0.11           	30             
2024-09-24T19:54:11.000Z 	29768          	30             	0.10           	30             
2024-09-24T19:53:04.000Z 	29759          	33             	0.11           	33             
2024-09-24T19:49:11.000Z 	29765          	33             	0.11           	29             
2024-09-24T19:48:04.000Z 	29764          	28             	0.09           	29             
2024-09-24T19:44:11.000Z 	29763          	33             	0.11           	30             
2024-09-24T19:43:04.000Z 	29762          	29             	0.10           	30             
2024-09-24T19:39:11.000Z 	29764          	31             	0.10           	30             
2024-09-24T19:38:04.000Z 	29765          	29             	0.10           	44             
2024-09-24T19:34:11.000Z 	29761          	30             	0.10           	30             
2024-09-24T19:33:04.000Z 	29761          	29             	0.10           	29             
2024-09-24T19:29:11.000Z 	29771          	28             	0.09           	29             
2024-09-24T19:28:04.000Z 	29761          	32             	0.11           	28             
2024-09-24T19:24:11.000Z 	29763          	31             	0.10           	28             
2024-09-24T19:23:04.000Z 	29766          	26             	0.09           	29             
2024-09-24T19:19:11.000Z 	29768          	29             	0.10           	29             
2024-09-24T19:18:04.000Z 	29765          	26             	0.09           	29             
2024-09-24T19:14:11.000Z 	29761          	31             	0.10           	29             
2024-09-24T19:13:04.000Z 	29767          	29             	0.10           	29             
2024-09-24T19:09:11.000Z 	29756          	33             	0.11           	30             
2024-09-24T19:08:04.000Z 	29768          	25             	0.08           	30             
2024-09-24T19:04:11.000Z 	29758          	34             	0.11           	28             
2024-09-24T19:03:04.000Z 	29767          	30             	0.10           	29             
2024-09-24T18:59:11.000Z 	29764          	29             	0.10           	28             
2024-09-24T18:58:04.000Z 	29763          	31             	0.10           	30             
2024-09-24T18:54:11.000Z 	29770          	25             	0.08           	28             
2024-09-24T18:53:04.000Z 	29768          	26             	0.09           	29             
2024-09-24T18:49:11.000Z 	29764          	31             	0.10           	28             
2024-09-24T18:48:04.000Z 	29770          	25             	0.08           	29             
2024-09-24T18:44:11.000Z 	29762          	28             	0.09           	30             
2024-09-24T18:43:04.000Z 	29769          	27             	0.09           	28             
2024-09-24T18:39:11.000Z 	29760          	29             	0.10           	30             
2024-09-24T18:38:04.000Z 	29762          	29             	0.10           	29             
2024-09-24T18:34:11.000Z 	29757          	32             	0.11           	30             
2024-09-24T18:33:04.000Z 	29769          	30             	0.10           	28             
2024-09-24T18:29:11.000Z 	29324          	305            	1.04           	503            
2024-09-24T18:28:04.000Z 	29414          	283            	0.96           	128            
