Timestamp                	Total CBs      	Late CBs       	Late %         	Max Latency    
2024-09-24T14:03:45.000Z 	28942          	361            	1.25           	121            
2024-09-24T12:53:49.000Z 	29494          	110            	0.37           	128            
2024-09-24T06:23:49.000Z 	29753          	28             	0.09           	110            
2024-09-24T06:23:45.000Z 	29753          	31             	0.10           	113            
2024-09-24T06:18:49.000Z 	29553          	98             	0.33           	108            
2024-09-23T19:03:49.000Z 	29510          	181            	0.61           	123            
2024-09-23T17:53:49.000Z 	28611          	655            	2.29           	127            
2024-09-23T17:53:49.000Z 	28798          	520            	1.81           	229            
2024-09-23T13:43:49.000Z 	29466          	174            	0.59           	116            
2024-09-23T08:08:49.000Z 	29735          	36             	0.12           	103            
2024-09-22T09:18:49.000Z 	29712          	47             	0.16           	125            
2024-09-22T09:18:48.000Z 	29711          	51             	0.17           	122            
2024-09-22T06:33:44.000Z 	29742          	32             	0.11           	116            
2024-09-21T22:33:48.000Z 	29393          	196            	0.67           	101            
2024-09-21T21:23:49.000Z 	29730          	41             	0.14           	109            
2024-09-21T18:03:44.000Z 	29482          	177            	0.60           	103            
2024-09-21T10:53:49.000Z 	29751          	31             	0.10           	105            
2024-09-21T01:58:49.000Z 	29752          	28             	0.09           	118            
2024-09-21T01:58:47.000Z 	29752          	29             	0.10           	112            
2024-09-20T13:13:44.000Z 	29477          	103            	0.35           	111            
