================================================================================
ONE-WAY LATENCY ANALYSIS (BIXBY → MASTER)
================================================================================
Time Period: 2025-09-07T00:00:02+00:00 to 2025-09-27T07:21:55+00:00
Matched Entries: 4,156,756
Measurement: Bixby send time → Master receive time
================================================================================

OVERALL STATISTICS
--------------------------------------------------------------------------------
Count:       4,156,756
Min:             0.000 ms
Median:          6.000 ms
Max:         46980.000 ms
P99:           145.000 ms
P99.9:         151.000 ms
P99.99:      24425.298 ms

HOURLY STATISTICS
--------------------------------------------------------------------------------
Hour                    Count      Min   Median      Max      P99    P99.9   P99.99
--------------------------------------------------------------------------------
2025-09-07 00:00        1,233     0.00    30.00    34.00    32.00    33.00    33.88
2025-09-07 01:00        1,231     0.00    30.00    38.00    32.00    33.00    37.38
2025-09-07 02:00        1,240     0.00    30.00    33.00    32.00    33.00    33.00
2025-09-07 03:00        1,233     0.00    30.00    34.00    33.00    34.00    34.00
2025-09-07 04:00        1,231     0.00    30.00    34.00    33.00    34.00    34.00
2025-09-07 05:00        1,274     0.00    30.00    33.00    32.00    33.00    33.00
2025-09-07 06:00        1,267     0.00    30.00    32.00    32.00    32.00    32.00
2025-09-07 07:00        1,233     0.00    30.00    33.00    32.00    32.00    32.88
2025-09-07 08:00        1,246     0.00    30.00   102.00    32.00    33.00    93.41
2025-09-07 09:00        1,246     0.00    30.00    33.00    32.00    33.00    33.00
2025-09-07 10:00        1,231     0.00    30.00    34.00    33.00    33.77    34.00
2025-09-07 11:00        1,256     0.00    30.00    34.00    33.00    34.00    34.00
2025-09-07 12:00        1,216     0.00    30.00    36.00    32.00    33.00    35.64
2025-09-07 13:00        1,179     0.00    29.00    47.00    32.00    33.00    45.35
2025-09-07 14:00        1,192     0.00    29.00    33.00    32.00    32.00    32.88
2025-09-07 15:00        1,225     0.00    30.00    35.00    32.00    32.00    34.63
2025-09-07 16:00        1,220     0.00    29.50    33.00    32.00    33.00    33.00
2025-09-07 17:00        1,250     0.00    29.00    39.00    32.00    33.75    38.38
2025-09-07 18:00        1,225     0.00    30.00    34.00    32.00    33.00    33.88
2025-09-07 19:00        1,225     0.00    30.00    34.00    32.00    33.00    33.88
2025-09-07 20:00        1,228     0.00    30.00    33.00    33.00    33.00    33.00
2025-09-07 21:00        1,221     0.00    30.00    34.00    33.00    34.00    34.00
2025-09-07 22:00        1,235     0.00    30.00    35.00    33.00    34.77    35.00
2025-09-07 23:00        1,255     0.00    30.00    35.00    33.00    34.00    34.88
2025-09-08 00:00        1,225     0.00    30.00    35.00    33.00    34.00    34.88
2025-09-08 01:00        1,226     0.00    30.00    34.00    33.00    33.77    34.00
2025-09-08 02:00        1,217     0.00    30.00    34.00    33.00    33.00    33.88
